feature,importance
floor_area_sqm,8531
dist_to_closest_mrt_km,7883
is_mature,5906
mrt_within_1km,5891
remaining_lease_yrs,5415
town,4507
flat_age,4352
flat_type,4299
year,3824
malls_within_500m,3719
storey_mid,2782
dist_to_closest_primary_school_km,2657
min_distance_to_regional_hub_km,2582
flat_model,2438
mrt_within_500m,1640
month_num,1460
primary_schools_within_1km,1446
malls_within_1km,1438
hist_price_psm,1401
dist_to_closest_shopping_mall_km,1153
lease_commence_date,862
dist_cbd_km,776
primary_schools_within_2km,638
